# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	28840	29697	-						66752296	HT085_RS00160	858		old_locus_tag=TUM19854C_00280
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	28840	29697	-	WP_017146691.1	WP_017146691.1		factor H binding family protein		66752296	HT085_RS00160	858	285	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	29836	30900	-					fba	66752297	HT085_RS00165	1065		old_locus_tag=TUM19854C_00290
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	29836	30900	-	WP_003687252.1	WP_003687252.1		fructose-bisphosphate aldolase class II	fba	66752297	HT085_RS00165	1065	354	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	31094	32011	+					xerC	66752298	HT085_RS00170	918		old_locus_tag=TUM19854C_00300
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	31094	32011	+	WP_003687253.1	WP_003687253.1		tyrosine recombinase XerC	xerC	66752298	HT085_RS00170	918	305	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	32096	34009	+					dxs	66752299	HT085_RS00175	1914		old_locus_tag=TUM19854C_00310
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	32096	34009	+	WP_003690504.1	WP_003690504.1		1-deoxy-D-xylulose-5-phosphate synthase	dxs	66752299	HT085_RS00175	1914	637	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	34074	34238	-						66752300	HT085_RS00180	165		
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	34074	34238	-	WP_153707845.1	WP_153707845.1		hypothetical protein		66752300	HT085_RS00180	165	54	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	34256	35584	-					miaB	66752301	HT085_RS00185	1329		old_locus_tag=TUM19854C_00320
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	34256	35584	-	WP_003687255.1	WP_003687255.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB	66752301	HT085_RS00185	1329	442	
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	35781	35855	+						66752302	HT085_RS00190	75		partial;pseudo
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	35781	35855	+				glucosamine-fructose-6-phosphate aminotransferase		66752302	HT085_RS00190	75		partial;pseudo
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	35909	36294	+						71771572	HT085_RS11600	386		pseudo
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	35909	36294	+				glucosamine-fructose-6-phosphate aminotransferase		71771572	HT085_RS11600	386		pseudo
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	36358	37638	+					hemL	66752304	HT085_RS00200	1281		old_locus_tag=TUM19854C_00330
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	36358	37638	+	WP_003687258.1	WP_003687258.1		glutamate-1-semialdehyde 2,1-aminomutase	hemL	66752304	HT085_RS00200	1281	426	
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	37838	38734	-						66754524	HT085_RS11525	897		pseudo
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	37838	38734	-				IS630 family transposase		66754524	HT085_RS11525	897		pseudo
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	38951	39514	-					orn	66752305	HT085_RS00215	564		old_locus_tag=TUM19854C_00340
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	38951	39514	-	WP_003687260.1	WP_003687260.1		oligoribonuclease	orn	66752305	HT085_RS00215	564	187	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	39532	40419	-					prmA	66752306	HT085_RS00220	888		old_locus_tag=TUM19854C_00350
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	39532	40419	-	WP_003687261.1	WP_003687261.1		50S ribosomal protein L11 methyltransferase	prmA	66752306	HT085_RS00220	888	295	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	40523	41884	-					accC	66752307	HT085_RS00225	1362		old_locus_tag=TUM19854C_00360
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	40523	41884	-	WP_003687264.1	WP_003687264.1		acetyl-CoA carboxylase biotin carboxylase subunit	accC	66752307	HT085_RS00225	1362	453	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	41998	42417	-					accB	66752308	HT085_RS00230	420		old_locus_tag=TUM19854C_00370
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	41998	42417	-	WP_003690508.1	WP_003690508.1		acetyl-CoA carboxylase biotin carboxyl carrier protein	accB	66752308	HT085_RS00230	420	139	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	42399	42656	-						66752309	HT085_RS00235	258		
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	42399	42656	-	WP_003687268.1	WP_003687268.1		hypothetical protein		66752309	HT085_RS00235	258	85	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	42773	43813	+					queA	66752310	HT085_RS00240	1041		old_locus_tag=TUM19854C_00380
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	42773	43813	+	WP_003687270.1	WP_003687270.1		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA	66752310	HT085_RS00240	1041	346	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	44014	47229	-					carB	66752311	HT085_RS00245	3216		old_locus_tag=TUM19854C_00390
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	44014	47229	-	WP_003690509.1	WP_003690509.1		carbamoyl-phosphate synthase large subunit	carB	66752311	HT085_RS00245	3216	1071	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	47236	47784	-						66752312	HT085_RS00250	549		old_locus_tag=TUM19854C_00400
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	47236	47784	-	WP_003687274.1	WP_003687274.1		hypothetical protein		66752312	HT085_RS00250	549	182	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	47787	48350	-						66752313	HT085_RS00255	564		old_locus_tag=TUM19854C_00410
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	47787	48350	-	WP_002214615.1	WP_002214615.1		ComF family protein		66752313	HT085_RS00255	564	187	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	49252	49641	-						66752314	HT085_RS00260	390		old_locus_tag=TUM19854C_00420
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	49252	49641	-	WP_003687278.1	WP_003687278.1		endonuclease domain-containing protein		66752314	HT085_RS00260	390	129	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	49804	49971	-						71771573	HT085_RS11605	168		old_locus_tag=TUM19854C_00430
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	49804	49971	-	WP_003690515.1	WP_003690515.1		glyoxalase		71771573	HT085_RS11605	168	55	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	49899	50183	-						66752315	HT085_RS00265	285		old_locus_tag=TUM19854C_00440
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	49899	50183	-	WP_003687282.1	WP_003687282.1		VOC family protein		66752315	HT085_RS00265	285	94	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	50237	51370	-					carA	66752316	HT085_RS00270	1134		old_locus_tag=TUM19854C_00450
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	50237	51370	-	WP_003687283.1	WP_003687283.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA	66752316	HT085_RS00270	1134	377	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	52696	55860	-						66752317	HT085_RS00275	3165		old_locus_tag=TUM19854C_00460
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	52696	55860	-	WP_172763930.1	WP_172763930.1		pilus assembly/adherence protein PilC		66752317	HT085_RS00275	3165	1054	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	57302	58381	-					apbC	66752318	HT085_RS00280	1080		old_locus_tag=TUM19854C_00470
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	57302	58381	-	WP_003699443.1	WP_003699443.1		iron-sulfur cluster carrier protein ApbC	apbC	66752318	HT085_RS00280	1080	359	
gene	tRNA	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	58600	58675	+						66752319	HT085_RS00285	76		old_locus_tag=TUM19854C_t00020
tRNA		GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	58600	58675	+				tRNA-Lys		66752319	HT085_RS00285	76		anticodon=TTT
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	58755	59264	+						66752320	HT085_RS00290	510		old_locus_tag=TUM19854C_00480
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	58755	59264	+	WP_003687293.1	WP_003687293.1		protein disulfide oxidoreductase		66752320	HT085_RS00290	510	169	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	59605	60045	+					nadR	66752321	HT085_RS00295	441		old_locus_tag=TUM19854C_00490
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	59605	60045	+	WP_003687296.1	WP_003687296.1		MarR family adhesin repressor NadR	nadR	66752321	HT085_RS00295	441	146	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	60160	60660	+					hpaC	66752322	HT085_RS00300	501		old_locus_tag=TUM19854C_00500
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	60160	60660	+	WP_003687298.1	WP_003687298.1		4-hydroxyphenylacetate 3-monooxygenase, reductase component	hpaC	66752322	HT085_RS00300	501	166	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	60676	61371	+						66752323	HT085_RS00305	696		old_locus_tag=TUM19854C_00510
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	60676	61371	+	WP_003687300.1	WP_003687300.1		nucleotidyltransferase family protein		66752323	HT085_RS00305	696	231	
gene	pseudogene	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	61405	61835	-						66752324	HT085_RS00310	431		pseudo;old_locus_tag=TUM19854C_00520
CDS	without_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	61405	61835	-				EamA family transporter		66752324	HT085_RS00310	431		pseudo
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	62010	63686	+						66752325	HT085_RS00315	1677		old_locus_tag=TUM19854C_00530
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	62010	63686	+	WP_003687303.1	WP_003687303.1		formate--tetrahydrofolate ligase		66752325	HT085_RS00315	1677	558	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	63800	64891	+					ychF	66752326	HT085_RS00320	1092		old_locus_tag=TUM19854C_00540
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	63800	64891	+	WP_003687306.1	WP_003687306.1		redox-regulated ATPase YchF	ychF	66752326	HT085_RS00320	1092	363	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	64929	65168	+						66752327	HT085_RS00325	240		
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	64929	65168	+	WP_003687308.1	WP_003687308.1		hypothetical protein		66752327	HT085_RS00325	240	79	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	65165	67039	+						66752328	HT085_RS00330	1875		old_locus_tag=TUM19854C_00550
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	65165	67039	+	WP_003687310.1	WP_003687310.1		acyltransferase		66752328	HT085_RS00330	1875	624	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	67101	68396	+					tyrS	66752329	HT085_RS00335	1296		old_locus_tag=TUM19854C_00560
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	67101	68396	+	WP_003690527.1	WP_003690527.1		tyrosine--tRNA ligase	tyrS	66752329	HT085_RS00335	1296	431	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	68927	69085	+						66752330	HT085_RS00340	159		
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	68927	69085	+	WP_154236104.1	WP_154236104.1		hypothetical protein		66752330	HT085_RS00340	159	52	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	69059	69868	-						66752331	HT085_RS00345	810		old_locus_tag=TUM19854C_00570
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	69059	69868	-	WP_172763949.1	WP_172763949.1		outer membrane beta-barrel protein		66752331	HT085_RS00345	810	269	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	70279	71199	+					ribF	66752332	HT085_RS00350	921		old_locus_tag=TUM19854C_00580
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	70279	71199	+	WP_025455760.1	WP_025455760.1		bifunctional riboflavin kinase/FAD synthetase	ribF	66752332	HT085_RS00350	921	306	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	71341	74130	+					ileS	66752333	HT085_RS00355	2790		old_locus_tag=TUM19854C_00590
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	71341	74130	+	WP_003690531.1	WP_003690531.1		isoleucine--tRNA ligase	ileS	66752333	HT085_RS00355	2790	929	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	74301	74474	-						66752334	HT085_RS00360	174		
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	74301	74474	-	WP_162488833.1	WP_162488833.1		hypothetical protein		66752334	HT085_RS00360	174	57	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	74488	75183	-						66752335	HT085_RS00365	696		old_locus_tag=TUM19854C_00600
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	74488	75183	-	WP_244948132.1	WP_244948132.1		opacity family porin		66752335	HT085_RS00365	696	231	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	76581	77075	+					lspA	66752336	HT085_RS00370	495		old_locus_tag=TUM19854C_00610
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	76581	77075	+	WP_003687321.1	WP_003687321.1		signal peptidase II	lspA	66752336	HT085_RS00370	495	164	
gene	protein_coding	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	77105	78073	+					ispH	66752337	HT085_RS00375	969		old_locus_tag=TUM19854C_00620
CDS	with_protein	GCF_013030075.1	Primary Assembly	chromosome		NZ_AP023069.1	77105	78073	+	WP_003687322.1	WP_003687322.1		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	66752337	HT085_RS00375	969	322	
