# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	15334	15537	-							EL309_RS00100	204		partial;pseudo;old_locus_tag=NCTC12742_00009
CDS	without_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	15334	15537	-				IS1595 family transposase			EL309_RS00100	204		partial;pseudo
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	15902	18841	+							EL309_RS00105	2940		old_locus_tag=NCTC12742_00010
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	15902	18841	+	WP_232014441.1	WP_232014441.1		hemagglutinin repeat-containing protein			EL309_RS00105	2940	979	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	18838	19254	+							EL309_RS00110	417		old_locus_tag=NCTC12742_00011
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	18838	19254	+	WP_040669428.1	WP_040669428.1		hypothetical protein			EL309_RS00110	417	138	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	19368	20216	+							EL309_RS00115	849		old_locus_tag=NCTC12742_00012
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	19368	20216	+	WP_126382049.1	WP_126382049.1		hypothetical protein			EL309_RS00115	849	282	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	20213	20431	+							EL309_RS00120	219		old_locus_tag=NCTC12742_00013
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	20213	20431	+	WP_004282573.1	WP_004282573.1		hypothetical protein			EL309_RS00120	219	72	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	20653	21219	+							EL309_RS00125	567		
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	20653	21219	+	WP_164717521.1	WP_164717521.1		polymorphic toxin type 24 domain-containing protein			EL309_RS00125	567	188	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	21234	21689	+							EL309_RS00130	456		old_locus_tag=NCTC12742_00015
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	21234	21689	+	WP_004285017.1	WP_004285017.1		hypothetical protein			EL309_RS00130	456	151	
gene	pseudogene	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	21851	22077	+							EL309_RS10745	227		partial;pseudo;old_locus_tag=NCTC12742_00016
CDS	without_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	21851	22077	+				IS21 family transposase			EL309_RS10745	227		partial;pseudo
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	22259	23200	+							EL309_RS10710	942		old_locus_tag=NCTC12742_00017
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	22259	23200	+	WP_197721075.1	WP_197721075.1		hypothetical protein			EL309_RS10710	942	313	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	23206	23493	+							EL309_RS00145	288		old_locus_tag=NCTC12742_00018
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	23206	23493	+	WP_004285342.1	WP_004285342.1		barstar family protein			EL309_RS00145	288	95	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	23555	23797	+							EL309_RS10715	243		
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	23555	23797	+	WP_197671602.1	WP_197671602.1		hypothetical protein			EL309_RS10715	243	80	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	24028	24384	+							EL309_RS00155	357		old_locus_tag=NCTC12742_00019
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	24028	24384	+	WP_040669650.1	WP_040669650.1		hypothetical protein			EL309_RS00155	357	118	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	24619	25470	+							EL309_RS00160	852		old_locus_tag=NCTC12742_00020
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	24619	25470	+	WP_126382052.1	WP_126382052.1		VENN motif pre-toxin domain-containing protein			EL309_RS00160	852	283	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	25491	25994	+							EL309_RS00165	504		old_locus_tag=NCTC12742_00021
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	25491	25994	+	WP_040670001.1	WP_040670001.1		hypothetical protein			EL309_RS00165	504	167	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	26117	26560	+							EL309_RS00170	444		old_locus_tag=NCTC12742_00022
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	26117	26560	+	WP_004284764.1	WP_004284764.1		hypothetical protein			EL309_RS00170	444	147	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	26560	26913	+							EL309_RS00175	354		old_locus_tag=NCTC12742_00023
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	26560	26913	+	WP_004284765.1	WP_004284765.1		DUF3969 family protein			EL309_RS00175	354	117	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	27016	28329	+							EL309_RS00180	1314		old_locus_tag=NCTC12742_00024
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	27016	28329	+	WP_164717522.1	WP_164717522.1		VENN motif pre-toxin domain-containing protein			EL309_RS00180	1314	437	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	28326	28766	+							EL309_RS00185	441		old_locus_tag=NCTC12742_00025
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	28326	28766	+	WP_107855378.1	WP_107855378.1		immunity 42 family protein			EL309_RS00185	441	146	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	28898	29551	-							EL309_RS00195	654		old_locus_tag=NCTC12742_00026
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	28898	29551	-	WP_040669657.1	WP_040669657.1		IS1595 family transposase			EL309_RS00195	654	217	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	29566	29892	+							EL309_RS00200	327		
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	29566	29892	+	WP_036494199.1	WP_036494199.1		hypothetical protein			EL309_RS00200	327	108	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	30672	30914	+							EL309_RS00205	243		
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	30672	30914	+	WP_126382055.1	WP_126382055.1		hypothetical protein			EL309_RS00205	243	80	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	30895	31332	+							EL309_RS00210	438		old_locus_tag=NCTC12742_00027
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	30895	31332	+	WP_036494200.1	WP_036494200.1		hypothetical protein			EL309_RS00210	438	145	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	31521	32942	+							EL309_RS00215	1422		old_locus_tag=NCTC12742_00028
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	31521	32942	+	WP_126382057.1	WP_126382057.1		VENN motif pre-toxin domain-containing protein			EL309_RS00215	1422	473	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	32942	33388	+							EL309_RS00220	447		old_locus_tag=NCTC12742_00029
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	32942	33388	+	WP_036494187.1	WP_036494187.1		hypothetical protein			EL309_RS00220	447	148	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	33772	34704	+							EL309_RS00225	933		old_locus_tag=NCTC12742_00030
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	33772	34704	+	WP_107855371.1	WP_107855371.1		hypothetical protein			EL309_RS00225	933	310	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	34727	35185	+							EL309_RS00230	459		old_locus_tag=NCTC12742_00031
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	34727	35185	+	WP_004284778.1	WP_004284778.1		hypothetical protein			EL309_RS00230	459	152	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	35215	35919	+							EL309_RS00235	705		old_locus_tag=NCTC12742_00032
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	35215	35919	+	WP_107726005.1	WP_107726005.1		S-layer family protein			EL309_RS00235	705	234	
gene	pseudogene	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	35885	36544	-							EL309_RS00240	660		partial;pseudo;old_locus_tag=NCTC12742_00033
CDS	without_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	35885	36544	-				transposase			EL309_RS00240	660		partial;pseudo
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	36971	37708	+							EL309_RS00245	738		old_locus_tag=NCTC12742_00034
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	36971	37708	+	WP_004284756.1	WP_004284756.1		pirin family protein			EL309_RS00245	738	245	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	37800	38408	+							EL309_RS00250	609		old_locus_tag=NCTC12742_00035
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	37800	38408	+	WP_004284755.1	WP_004284755.1		nitroreductase family protein			EL309_RS00250	609	202	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	38539	39222	+							EL309_RS00255	684		old_locus_tag=NCTC12742_00036
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	38539	39222	+	WP_004284753.1	WP_004284753.1		hydrolase			EL309_RS00255	684	227	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	39309	39530	+							EL309_RS00260	222		old_locus_tag=NCTC12742_00037
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	39309	39530	+	WP_004284751.1	WP_004284751.1		DUF1427 family protein			EL309_RS00260	222	73	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	39531	41423	+							EL309_RS00265	1893		old_locus_tag=NCTC12742_00038
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	39531	41423	+	WP_004284748.1	WP_004284748.1		amidohydrolase			EL309_RS00265	1893	630	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	41584	42483	+							EL309_RS00270	900		old_locus_tag=NCTC12742_00039
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	41584	42483	+	WP_004284747.1	WP_004284747.1		pirin family protein			EL309_RS00270	900	299	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	42838	44439	+							EL309_RS00275	1602		old_locus_tag=NCTC12742_00040
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	42838	44439	+	WP_004284745.1	WP_004284745.1		MFS transporter			EL309_RS00275	1602	533	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	44638	45201	-							EL309_RS00280	564		old_locus_tag=NCTC12742_00041
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	44638	45201	-	WP_004284744.1	WP_004284744.1		YceI family protein			EL309_RS00280	564	187	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	45391	46293	-							EL309_RS00285	903		old_locus_tag=NCTC12742_00042
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	45391	46293	-	WP_036494230.1	WP_036494230.1		LysR family transcriptional regulator			EL309_RS00285	903	300	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	46563	47276	+					trmB		EL309_RS00290	714		old_locus_tag=NCTC12742_00043
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	46563	47276	+	WP_004284740.1	WP_004284740.1		tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB		EL309_RS00290	714	237	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	47384	48190	-							EL309_RS00295	807		old_locus_tag=NCTC12742_00044
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	47384	48190	-	WP_040669977.1	WP_040669977.1		IS481 family transposase			EL309_RS00295	807	268	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	48289	48702	+							EL309_RS00300	414		old_locus_tag=NCTC12742_00045
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	48289	48702	+	WP_004284735.1	WP_004284735.1		DUF596 domain-containing protein			EL309_RS00300	414	137	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	48848	49777	+							EL309_RS00305	930		old_locus_tag=NCTC12742_00046
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	48848	49777	+	WP_004284733.1	WP_004284733.1		DUF637 domain-containing protein			EL309_RS00305	930	309	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	49774	50022	+							EL309_RS00310	249		
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	49774	50022	+	WP_004284731.1	WP_004284731.1		hypothetical protein			EL309_RS00310	249	82	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	50308	50631	+							EL309_RS00315	324		old_locus_tag=NCTC12742_00047
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	50308	50631	+	WP_040669974.1	WP_040669974.1		hypothetical protein			EL309_RS00315	324	107	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	51109	52404	+					serS		EL309_RS00320	1296		old_locus_tag=NCTC12742_00048
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	51109	52404	+	WP_004284726.1	WP_004284726.1		serine--tRNA ligase	serS		EL309_RS00320	1296	431	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	52488	53114	+							EL309_RS00325	627		old_locus_tag=NCTC12742_00049
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	52488	53114	+	WP_004284725.1	WP_004284725.1		LysE/ArgO family amino acid transporter			EL309_RS00325	627	208	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	53198	53617	-							EL309_RS00330	420		old_locus_tag=NCTC12742_00050
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	53198	53617	-	WP_004284722.1	WP_004284722.1		hypothetical protein			EL309_RS00330	420	139	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	53707	54711	-					holA		EL309_RS00335	1005		old_locus_tag=NCTC12742_00051
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	53707	54711	-	WP_004284721.1	WP_004284721.1		DNA polymerase III subunit delta	holA		EL309_RS00335	1005	334	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	54711	55190	-					lptE		EL309_RS00340	480		old_locus_tag=NCTC12742_00052
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	54711	55190	-	WP_004284720.1	WP_004284720.1		LPS assembly lipoprotein LptE	lptE		EL309_RS00340	480	159	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	55265	56692	-					gatB		EL309_RS00345	1428		old_locus_tag=NCTC12742_00053
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	55265	56692	-	WP_004284718.1	WP_004284718.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB		EL309_RS00345	1428	475	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	56706	57332	-							EL309_RS00350	627		old_locus_tag=NCTC12742_00054
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	56706	57332	-	WP_081463204.1	WP_081463204.1		hypothetical protein			EL309_RS00350	627	208	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	57322	58140	-							EL309_RS00355	819		old_locus_tag=NCTC12742_00055
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	57322	58140	-	WP_004284717.1	WP_004284717.1		site-specific DNA-methyltransferase			EL309_RS00355	819	272	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	58130	58948	-							EL309_RS00360	819		old_locus_tag=NCTC12742_00056
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	58130	58948	-	WP_004284716.1	WP_004284716.1		Dam family site-specific DNA-(adenine-N6)-methyltransferase			EL309_RS00360	819	272	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	58954	59160	-							EL309_RS00365	207		old_locus_tag=NCTC12742_00057
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	58954	59160	-	WP_004284714.1	WP_004284714.1		hypothetical protein			EL309_RS00365	207	68	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	59256	60710	-					gatA		EL309_RS00370	1455		old_locus_tag=NCTC12742_00058
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	59256	60710	-	WP_004284711.1	WP_004284711.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA		EL309_RS00370	1455	484	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	60791	61081	-					gatC		EL309_RS00375	291		old_locus_tag=NCTC12742_00059
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	60791	61081	-	WP_004284709.1	WP_004284709.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC		EL309_RS00375	291	96	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	61324	62364	+							EL309_RS00380	1041		old_locus_tag=NCTC12742_00060
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	61324	62364	+	WP_004284707.1	WP_004284707.1		rod shape-determining protein			EL309_RS00380	1041	346	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	62388	63221	+					mreC		EL309_RS00385	834		old_locus_tag=NCTC12742_00061
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	62388	63221	+	WP_004284705.1	WP_004284705.1		rod shape-determining protein MreC	mreC		EL309_RS00385	834	277	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	63279	63782	+					mreD		EL309_RS00390	504		old_locus_tag=NCTC12742_00062
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	63279	63782	+	WP_036494156.1	WP_036494156.1		rod shape-determining protein MreD	mreD		EL309_RS00390	504	167	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	63779	65842	+					mrdA		EL309_RS00395	2064		old_locus_tag=NCTC12742_00063
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	63779	65842	+	WP_004284702.1	WP_004284702.1		penicillin-binding protein 2	mrdA		EL309_RS00395	2064	687	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	65835	66941	+					rodA		EL309_RS00400	1107		old_locus_tag=NCTC12742_00064
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	65835	66941	+	WP_004284700.1	WP_004284700.1		rod shape-determining protein RodA	rodA		EL309_RS00400	1107	368	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	66968	67627	+							EL309_RS00405	660		old_locus_tag=NCTC12742_00065
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	66968	67627	+	WP_004284698.1	WP_004284698.1		MarC family protein			EL309_RS00405	660	219	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	67749	69539	-					lpdA		EL309_RS00410	1791		old_locus_tag=NCTC12742_00066
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	67749	69539	-	WP_004284696.1	WP_004284696.1		dihydrolipoyl dehydrogenase	lpdA		EL309_RS00410	1791	596	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	69635	71293	-					aceF		EL309_RS00415	1659		old_locus_tag=NCTC12742_00067
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	69635	71293	-	WP_004284695.1	WP_004284695.1		dihydrolipoyllysine-residue acetyltransferase	aceF		EL309_RS00415	1659	552	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	71426	74095	-					aceE		EL309_RS00420	2670		old_locus_tag=NCTC12742_00068
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	71426	74095	-	WP_004284693.1	WP_004284693.1		pyruvate dehydrogenase (acetyl-transferring), homodimeric type	aceE		EL309_RS00420	2670	889	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	74495	75115	-							EL309_RS00425	621		old_locus_tag=NCTC12742_00069
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	74495	75115	-	WP_004284690.1	WP_004284690.1		Smr/MutS family protein			EL309_RS00425	621	206	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	75243	75989	-							EL309_RS00430	747		old_locus_tag=NCTC12742_00070
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	75243	75989	-	WP_004284689.1	WP_004284689.1		SDR family NAD(P)-dependent oxidoreductase			EL309_RS00430	747	248	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	76064	76744	-					lolD		EL309_RS00435	681		old_locus_tag=NCTC12742_00071
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	76064	76744	-	WP_004284687.1	WP_004284687.1		lipoprotein-releasing ABC transporter ATP-binding protein LolD	lolD		EL309_RS00435	681	226	
gene	protein_coding	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	76737	77987	-							EL309_RS00440	1251		old_locus_tag=NCTC12742_00072
CDS	with_protein	GCF_900638685.1	Primary Assembly	chromosome		NZ_LR134533.1	76737	77987	-	WP_004284686.1	WP_004284686.1		lipoprotein-releasing ABC transporter permease subunit			EL309_RS00440	1251	416	
