# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	34956	35456	-	WP_085364551.1	WP_085364551.1		50S ribosomal protein L10	rplJ		CKV66_RS00125	501	166	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	35712	36404	-					rplA		CKV66_RS00135	693		old_locus_tag=SAMEA4504057_00025
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	35712	36404	-	WP_054599428.1	WP_054599428.1		50S ribosomal protein L1	rplA		CKV66_RS00135	693	230	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	36406	36837	-					rplK		CKV66_RS00140	432		old_locus_tag=SAMEA4504057_00026
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	36406	36837	-	WP_054599427.1	WP_054599427.1		50S ribosomal protein L11	rplK		CKV66_RS00140	432	143	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	36980	37516	-					nusG		CKV66_RS00145	537		old_locus_tag=SAMEA4504057_00027
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	36980	37516	-	WP_085360684.1	WP_085360684.1		transcription termination/antitermination protein NusG	nusG		CKV66_RS00145	537	178	
gene	pseudogene	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	37519	37674	-					secE		CKV66_RS12385	156		partial;pseudo
CDS	without_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	37519	37674	-				preprotein translocase subunit SecE	secE		CKV66_RS12385	156		partial;pseudo
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	38105	38180	-							CKV66_RS00155	76		old_locus_tag=SAMEA4504057_00029
tRNA		GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	38105	38180	-				tRNA-Trp			CKV66_RS00155	76		anticodon=CCA
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	38187	39371	-					tuf		CKV66_RS00160	1185		old_locus_tag=SAMEA4504057_00030
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	38187	39371	-	WP_085360686.1	WP_085360686.1		elongation factor Tu	tuf		CKV66_RS00160	1185	394	
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39417	39491	-							CKV66_RS00165	75		old_locus_tag=SAMEA4504057_00031
tRNA		GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39417	39491	-				tRNA-Thr			CKV66_RS00165	75		anticodon=GGT
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39502	39575	-							CKV66_RS00170	74		old_locus_tag=SAMEA4504057_00032
tRNA		GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39502	39575	-				tRNA-Gly			CKV66_RS00170	74		anticodon=TCC
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39618	39701	-							CKV66_RS00175	84		old_locus_tag=SAMEA4504057_00033
tRNA		GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39618	39701	-				tRNA-Tyr			CKV66_RS00175	84		anticodon=GTA
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39836	40087	-							CKV66_RS00180	252		old_locus_tag=SAMEA4504057_00034
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	39836	40087	-	WP_085364123.1	WP_085364123.1		YfhL family 4Fe-4S dicluster ferredoxin			CKV66_RS00180	252	83	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	40280	41647	-							CKV66_RS00185	1368		old_locus_tag=SAMEA4504057_00035
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	40280	41647	-	WP_231990551.1	WP_231990551.1		OmpP1/FadL family transporter			CKV66_RS00185	1368	455	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	41890	42174	-							CKV66_RS00190	285		old_locus_tag=SAMEA4504057_00036
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	41890	42174	-	WP_085364125.1	WP_085364125.1		hypothetical protein			CKV66_RS00190	285	94	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	42414	43835	-							CKV66_RS00195	1422		old_locus_tag=SAMEA4504057_00037
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	42414	43835	-	WP_085364126.1	WP_085364126.1		DNA photolyase family protein			CKV66_RS00195	1422	473	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	43944	44741	-							CKV66_RS00200	798		old_locus_tag=SAMEA4504057_00038
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	43944	44741	-	WP_085364127.1	WP_085364127.1		thiazole synthase			CKV66_RS00200	798	265	
gene	pseudogene	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	44797	44874	-							CKV66_RS12390	78		partial;pseudo
CDS	without_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	44797	44874	-				lipoprotein signal peptidase			CKV66_RS12390	78		partial;pseudo
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	44875	45072	-					thiS		CKV66_RS00205	198		old_locus_tag=SAMEA4504057_00039
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	44875	45072	-	WP_054600413.1	WP_054600413.1		sulfur carrier protein ThiS	thiS		CKV66_RS00205	198	65	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	45059	46213	-							CKV66_RS00210	1155		old_locus_tag=SAMEA4504057_00040
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	45059	46213	-	WP_231990552.1	WP_231990552.1		FAD-binding oxidoreductase			CKV66_RS00210	1155	384	
gene	pseudogene	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	46250	46389	-							CKV66_RS12395	140		partial;pseudo
CDS	without_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	46250	46389	-				lipoprotein signal peptidase			CKV66_RS12395	140		partial;pseudo
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	46539	48413	-					thiC		CKV66_RS00220	1875		old_locus_tag=SAMEA4504057_00041
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	46539	48413	-	WP_085364128.1	WP_085364128.1		phosphomethylpyrimidine synthase ThiC	thiC		CKV66_RS00220	1875	624	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	48692	49132	+							CKV66_RS00225	441		old_locus_tag=SAMEA4504057_00043
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	48692	49132	+	WP_231990495.1	WP_231990495.1		thioesterase domain-containing protein			CKV66_RS00225	441	146	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	49213	49782	-					rsmD		CKV66_RS00230	570		old_locus_tag=SAMEA4504057_00044
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	49213	49782	-	WP_085364129.1	WP_085364129.1		16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD		CKV66_RS00230	570	189	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	50616	51347	+							CKV66_RS00235	732		old_locus_tag=SAMEA4504057_00045
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	50616	51347	+	WP_085364130.1	WP_085364130.1		LytTR family DNA-binding domain-containing protein			CKV66_RS00235	732	243	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	51442	51930	-							CKV66_RS00240	489		old_locus_tag=SAMEA4504057_00046
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	51442	51930	-	WP_085364131.1	WP_085364131.1		TlpA family protein disulfide reductase			CKV66_RS00240	489	162	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	51927	52316	-							CKV66_RS00245	390		old_locus_tag=SAMEA4504057_00047
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	51927	52316	-	WP_085364188.1	WP_085364188.1		acyl-CoA thioesterase			CKV66_RS00245	390	129	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	52322	52681	-							CKV66_RS00250	360		old_locus_tag=SAMEA4504057_00048
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	52322	52681	-	WP_085364132.1	WP_085364132.1		VacJ			CKV66_RS00250	360	119	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	52777	52923	-							CKV66_RS12400	147		
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	52777	52923	-	WP_095197807.1	WP_095197807.1		lipoprotein signal peptidase			CKV66_RS12400	147	48	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	53257	54603	+							CKV66_RS00260	1347		old_locus_tag=SAMEA4504057_00049
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	53257	54603	+	WP_085364134.1	WP_085364134.1		TRAP transporter large permease subunit			CKV66_RS00260	1347	448	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	54603	54821	+							CKV66_RS00265	219		old_locus_tag=SAMEA4504057_00050
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	54603	54821	+	WP_085364135.1	WP_085364135.1		SlyX family protein			CKV66_RS00265	219	72	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	54902	55372	+					rlmH		CKV66_RS00270	471		old_locus_tag=SAMEA4504057_00051
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	54902	55372	+	WP_085360044.1	WP_085360044.1		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		CKV66_RS00270	471	156	
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	55643	55719	-							CKV66_RS00275	77		old_locus_tag=SAMEA4504057_00052
tRNA		GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	55643	55719	-				tRNA-Met			CKV66_RS00275	77		anticodon=CAT
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	55855	57291	-					mgtE		CKV66_RS00280	1437		old_locus_tag=SAMEA4504057_00053
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	55855	57291	-	WP_085364136.1	WP_085364136.1		magnesium transporter	mgtE		CKV66_RS00280	1437	478	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	57692	58351	+							CKV66_RS00285	660		old_locus_tag=SAMEA4504057_00054
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	57692	58351	+	WP_085364137.1	WP_085364137.1		HAD-IA family hydrolase			CKV66_RS00285	660	219	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	58748	59554	-					ccsA		CKV66_RS00290	807		old_locus_tag=SAMEA4504057_00055
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	58748	59554	-	WP_085364138.1	WP_085364138.1		cytochrome c biogenesis protein CcsA	ccsA		CKV66_RS00290	807	268	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	59677	61047	+					ffh		CKV66_RS00295	1371		old_locus_tag=SAMEA4504057_00056
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	59677	61047	+	WP_085364139.1	WP_085364139.1		signal recognition particle protein	ffh		CKV66_RS00295	1371	456	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	61250	62521	-							CKV66_RS00300	1272		old_locus_tag=SAMEA4504057_00057
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	61250	62521	-	WP_085364140.1	WP_085364140.1		hypothetical protein			CKV66_RS00300	1272	423	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	62617	63375	-							CKV66_RS00305	759		old_locus_tag=SAMEA4504057_00058
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	62617	63375	-	WP_085364141.1	WP_085364141.1		class I SAM-dependent methyltransferase			CKV66_RS00305	759	252	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	63460	65145	-							CKV66_RS00310	1686		old_locus_tag=SAMEA4504057_00059
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	63460	65145	-	WP_085364142.1	WP_085364142.1		sigma 54-interacting transcriptional regulator			CKV66_RS00310	1686	561	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	65132	66727	-							CKV66_RS00315	1596		old_locus_tag=SAMEA4504057_00060
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	65132	66727	-	WP_085364143.1	WP_085364143.1		HAMP domain-containing histidine kinase			CKV66_RS00315	1596	531	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	66870	69179	-					parC		CKV66_RS00320	2310		old_locus_tag=SAMEA4504057_00061
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	66870	69179	-	WP_085364144.1	WP_085364144.1		DNA topoisomerase IV subunit A	parC		CKV66_RS00320	2310	769	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	69486	70370	+							CKV66_RS00325	885		old_locus_tag=SAMEA4504057_00062
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	69486	70370	+	WP_085364145.1	WP_085364145.1		NUDIX domain-containing protein			CKV66_RS00325	885	294	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	70609	70848	+							CKV66_RS00330	240		old_locus_tag=SAMEA4504057_00063
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	70609	70848	+	WP_085364146.1	WP_085364146.1		TM2 domain-containing protein			CKV66_RS00330	240	79	
gene	pseudogene	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	70877	71070	-							CKV66_RS12265	194		pseudo
CDS	without_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	70877	71070	-				lipoprotein signal peptidase			CKV66_RS12265	194		pseudo
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	71151	72161	+					pdxA		CKV66_RS00340	1011		old_locus_tag=SAMEA4504057_00064
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	71151	72161	+	WP_085364147.1	WP_085364147.1		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	pdxA		CKV66_RS00340	1011	336	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	72182	72430	+							CKV66_RS00345	249		old_locus_tag=SAMEA4504057_00065
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	72182	72430	+	WP_085364148.1	WP_085364148.1		cytochrome-c oxidase			CKV66_RS00345	249	82	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	72522	72821	+							CKV66_RS00350	300		old_locus_tag=SAMEA4504057_00066
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	72522	72821	+	WP_085364189.1	WP_085364189.1		hypothetical protein			CKV66_RS00350	300	99	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	72940	73518	+							CKV66_RS00355	579		old_locus_tag=SAMEA4504057_00067
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	72940	73518	+	WP_085364149.1	WP_085364149.1		carbonic anhydrase			CKV66_RS00355	579	192	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	73541	74152	+					nadD		CKV66_RS00360	612		old_locus_tag=SAMEA4504057_00068
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	73541	74152	+	WP_085364150.1	WP_085364150.1		nicotinate-nucleotide adenylyltransferase	nadD		CKV66_RS00360	612	203	
gene	protein_coding	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	74230	74622	+					rsfS		CKV66_RS00365	393		old_locus_tag=SAMEA4504057_00069
CDS	with_protein	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	74230	74622	+	WP_085364151.1	WP_085364151.1		ribosome silencing factor	rsfS		CKV66_RS00365	393	130	
gene	tRNA	GCF_900187305.1	Primary Assembly	chromosome	1	NZ_LT906434.1	74745	74822	+							CKV66_RS00370	78		old_locus_tag=SAMEA4504057_00070
